n, d, k, max_iter, epsilon, n_iter, msse, total_timeinit name, runner name
1000000, 128, 4000, 5, 0, 8,59750.4, 24.5324, Lazy, YY
iter#,asg time, update time, setup_time, msse, dist calcs, center reasg, mean center move, min center move, max center move
0, 0, 0, 0.02864, 45, 0, 0, 0, 0, 0
1, 0, 0, 14.2484, 48, 0, 0, 0, 0, 0
2, 0, 0, 0.738332, 49, 0, 0, 0, 0, 0
3, 0.000272, 0.378106, 0, 75215.6, 0, 0, 93.2304, 0, 218.625
4, 2.93163, 0.256019, 0.004293, 63911.4, 2020154899, 11, 43.0003, 7.54469, 249.473
5, 2.35517, 0.102195, 0.001841, 61290, 1613339615, 253, 25.6547, 4.46194, 82.2717
6, 1.84204, 0.06482, 0.001955, 60280.3, 1259678873, 127, 18.2825, 3.09062, 70.77
7, 1.50259, 0.047693, 0.001978, 59750.4, 1027728967, 107, 14.2366, 0, 44.6938
