n, d, k, max_iter, epsilon, n_iter, msse, total_timeinit name, runner name
1000000, 128, 3125, 5, 0, 8,61171.2, 20.2568, Lazy, YY
iter#,asg time, update time, setup_time, msse, dist calcs, center reasg, mean center move, min center move, max center move
0, 0, 0, 0.030698, 45, 0, 0, 0, 0, 0
1, 0, 0, 11.3387, 48, 0, 0, 0, 0, 0
2, 0, 0, 0.69815, 49, 0, 0, 0, 0, 0
3, 0.000288, 0.324129, 0, 77032.8, 0, 0, 94.7733, 27.7545, 310.966
4, 2.67157, 0.21148, 0.004134, 65519.3, 1861742993, 167, 43.8289, 9.72819, 144.963
5, 1.87259, 0.091461, 0.003345, 62778.6, 1296025326, 209, 26.0444, 4.9409, 117.682
6, 1.59166, 0.060989, 0.001938, 61724.2, 1104330647, 40, 18.4532, 3.0735, 64.9317
7, 1.29127, 0.03946, 0.001847, 61171.2, 892333334, 57, 14.3693, 2.14227, 43.9443
